key,korean_text,occurrence_count,locations
app.북마크를_해제했어요,북마크를 해제했어요.,4,web/app.js:26378 | web/app.js:26514 | web/app.js:27764 | web/app.js:27807
app.설정집,설정집,4,web/app.js:26553 | web/app.js:47620 | web/index.html:313 | web/index.html:388
app.북마크_해제,북마크 해제,4,web/app.js:26584 | web/app.js:26930 | web/app.js:29820 | web/index.html:4585
app.북마크하기,북마크하기,4,web/app.js:29820 | web/index.html:4388 | web/index.html:4551 | web/index.html:4715
app.참고_자료_링크_파일,참고 자료 (링크·파일),4,web/app.js:30824 | web/app.js:30834 | web/index.html:1334 | web/index.html:1334
app.전체보기,전체보기,4,web/app.js:31026 | web/index.html:2616 | web/index.html:2666 | web/index.html:5226
app.먼저_새_작품을_만들어_주세요,먼저 새 작품을 만들어 주세요.,4,web/app.js:37087 | web/app.js:37788 | web/app.js:37899 | web/app.js:43673
app.새_폴더,새 폴더,4,web/app.js:37800 | web/app.js:37807 | web/app.js:37842 | web/app.js:37846
app.문장_다듬기_비교,문장 다듬기 비교,4,web/app.js:40866 | web/app.js:40968 | web/app.js:41340 | web/index.html:3875
app.좌클릭_요약_목록_우클릭_토리야_요약해_줘,좌클릭: 요약 목록 · 우클릭: 토리야 요약해 줘,4,web/app.js:41898 | web/app.js:41981 | web/index.html:1613 | web/index.html:1613
app.이_회차에_등장하는_인물_연결,이 회차에 등장하는 인물 연결,4,web/app.js:42484 | web/app.js:42494 | web/index.html:1322 | web/index.html:1322
app.먼저_회차를_열어_주세요,먼저 회차를 열어 주세요.,4,web/app.js:42641 | web/app.js:42712 | web/app.js:42722 | web/app.js:45555
app.작품_id,작품 #${id},4,web/app.js:46602 | web/app.js:46722 | web/app.js:46825 | web/app.js:46844
app.확인_요청을_보냈어요_새_버전이_있으면_안내,확인 요청을 보냈어요. 새 버전이 있으면 안내가 떠요.,4,web/app.js:46911 | web/app.js:46996 | electron/main.js:580 | electron/main.js:755
app.업데이트_확인에_실패했습니다,업데이트 확인에 실패했습니다.,4,web/app.js:46968 | web/app.js:46969 | web/app.js:47008 | electron/main.js:766
index.바인더_닫기,바인더 닫기,4,web/index.html:288 | web/index.html:288 | web/index.html:289 | web/index.html:289
index.폴더_개수,폴더 개수,4,web/index.html:332 | web/index.html:332 | web/index.html:332 | web/index.html:332
index.원고_개수,원고 개수,4,web/index.html:334 | web/index.html:334 | web/index.html:334 | web/index.html:334
index.세계관_구조,세계관 구조,4,web/index.html:616 | web/index.html:616 | web/index.html:2305 | web/index.html:2305
index.바인더_열기,바인더 열기,4,web/index.html:924 | web/index.html:924 | web/index.html:924 | web/index.html:924
index.회차_제목,회차 제목,4,web/index.html:1095 | web/index.html:1095 | web/index.html:1900 | web/index.html:1900
index.실행_취소_다시_실행,실행 취소 · 다시 실행,4,web/index.html:1112 | web/index.html:1112 | web/index.html:2068 | web/index.html:2068
index.실행_취소_Ctrl_Z,실행 취소 (Ctrl+Z),4,web/index.html:1113 | web/index.html:1113 | web/index.html:2069 | web/index.html:2069
index.실행_취소,실행 취소,4,web/index.html:1113 | web/index.html:1113 | web/index.html:2069 | web/index.html:2069
index.다시_실행_Ctrl_Y,다시 실행 (Ctrl+Y),4,web/index.html:1114 | web/index.html:1114 | web/index.html:2070 | web/index.html:2070
index.다시_실행,다시 실행,4,web/index.html:1114 | web/index.html:1114 | web/index.html:2070 | web/index.html:2070
